"PID","CHOSEN","GENDER","AGE","WORK","GRAD","DIET","STUDENT","MARRIED","DELIV","FACEBOOK","TWITTER","INSTA","INCOME","KIDS","ALONE","REGION","DENSIT","FREQ","SNOB","PRICE_STA","KNOWN_STA","TASTE_STA","AMB_STA","SPEED_STA","MENU_STA","APP_STA","ADV_STA","PRICE_DUN","KNOWN_DUN","TASTE_DUN","AMB_DUN","SPEED_DUN","MENU_DUN","APP_DUN","ADV_DUN","PRICE_PEET","KNOWN_PEET","TASTE_PEET","AMB_PEET","SPEED_PEET","MENU_PEET","APP_PEET","ADV_PEET","PRICE_CAR","KNOWN_CAR","TASTE_CAR","AMB_CAR","SPEED_CAR","MENU_CAR","APP_CAR","ADV_CAR","UNO"
673,2,1,46,2,1,1,1,1,2,1,2,1,1,1,2,4,2,1,3,5.91,1,5,5,4,4,4,3,2.68,1,5,5,3,4,5,3,4.52,1,3,4,3,4,4,3,3.7,1,5,4,4,5,1,4,1
674,1,1,21,1,3,1,2,2,1,2,2,1,2,2,2,3,3,1,2,5.26,1,4,2,3,4,3,3,3.64,1,4,3,3,4,3,3,4.54,2,5,4,5,4,1,4,4.39,1,5,3,2,3,1,3,1
675,4,1,57,1,2,1,1,2,1,2,1,2,2,1,2,3,2,2,3,5.24,1,4,3,3,3,1,2,2.82,1,4,4,4,3,3,2,5.84,1,3,1,4,3,2,2,5.1,2,5,5,5,4,1,3,1
676,3,2,42,1,2,3,1,1,1,2,2,1,2,1,1,2,3,1,1,5.18,1,4,4,3,1,4,5,4.14,1,4,4,4,4,3,4,4.53,1,5,5,2,5,5,5,4.44,2,3,4,2,4,3,4,1
677,3,2,18,1,2,1,2,1,1,1,1,2,2,2,1,1,2,1,3,4.87,2,3,4,2,3,1,3,3.52,1,5,3,3,5,3,5,4.62,1,4,4,5,4,5,3,4.09,1,3,3,4,5,3,3,1
678,1,1,43,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,1,6.31,1,3,5,3,3,1,4,2.89,1,4,5,4,4,3,5,4.84,1,5,5,3,3,3,3,4.99,1,5,2,3,4,3,3,1
679,1,1,69,2,1,1,1,2,1,1,1,1,2,2,2,3,1,2,2,5.71,1,4,1,4,3,5,2,3.32,1,4,5,1,3,3,3,5.36,2,1,4,1,3,2,1,4.1,1,3,1,5,4,3,1,1
680,1,1,33,1,2,1,1,2,1,1,2,2,3,1,2,3,1,2,2,5.31,1,4,1,2,4,2,2,2.77,1,2,5,3,5,5,3,4.39,1,5,5,5,3,4,5,4.61,2,5,1,5,4,5,2,1
681,2,2,32,2,2,2,1,1,2,1,1,2,2,2,1,2,3,1,3,5.81,1,5,5,4,2,3,2,3.72,2,2,5,1,3,2,2,5.48,1,3,2,2,4,3,3,4.36,2,2,4,5,4,3,3,1
682,2,2,31,1,2,2,1,1,1,1,1,1,1,1,1,4,1,1,2,5.75,2,4,3,2,3,5,1,2.51,1,4,3,1,5,2,2,5.41,2,4,4,5,4,3,3,4.56,1,3,2,4,4,5,4,1
683,2,2,27,2,2,1,1,2,2,2,1,2,2,2,1,2,3,1,1,5.38,1,4,4,3,4,5,3,2.57,1,5,3,4,3,1,2,5.38,2,2,5,2,3,1,3,4.47,2,4,3,3,4,4,3,1
684,2,2,45,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,5.18,2,4,4,5,3,3,4,3.19,1,4,4,3,5,5,1,4.72,1,4,4,3,3,4,1,5.16,2,4,5,2,3,4,3,1
685,2,2,65,2,2,1,1,2,2,1,2,1,2,1,2,1,3,2,2,5.77,1,3,3,1,4,4,2,2.72,1,4,4,5,3,4,2,5.04,2,4,4,4,4,4,1,4.32,1,4,4,3,5,4,3,1
686,2,2,31,1,2,4,1,1,2,1,2,1,2,1,2,3,2,2,2,5.85,1,5,2,3,4,2,3,3.28,1,3,4,2,5,5,2,5.25,2,5,4,2,4,1,3,5.73,2,5,4,2,3,1,3,1
687,3,1,30,2,2,2,1,1,2,2,2,2,3,1,1,2,3,2,3,4.83,1,3,4,4,2,4,2,2.87,1,3,4,4,4,4,3,4.9,2,3,1,5,3,3,5,5.56,1,4,4,2,1,5,3,1
688,3,1,25,1,1,1,1,2,1,1,1,1,2,2,1,4,2,2,3,4.98,1,3,3,3,1,2,4,2.83,1,1,3,3,2,5,4,4.23,1,5,3,5,3,3,4,4.1,1,3,3,1,5,3,5,1
689,2,1,44,1,2,1,1,3,1,2,1,1,2,2,1,3,2,1,1,5.42,1,5,4,1,3,2,4,3.01,1,3,5,3,3,4,3,5.36,2,3,4,3,3,5,3,4.49,1,4,4,4,5,3,3,1
690,2,1,35,1,2,2,1,1,2,2,1,1,2,2,2,3,1,2,1,5.85,1,5,4,4,2,4,5,3.13,1,5,3,4,3,3,3,5.03,2,4,4,3,3,3,3,4.87,1,4,4,1,4,3,3,1
691,2,1,73,1,3,1,1,2,1,1,2,1,1,2,2,1,1,1,3,4.35,1,2,3,2,1,3,2,3.32,1,3,4,2,3,5,3,5.22,2,4,1,3,3,4,3,4.4,2,3,4,2,4,4,2,1
692,4,2,32,2,2,1,3,1,1,1,2,1,1,1,1,4,2,1,1,5.09,1,4,4,5,3,5,4,3.14,1,4,4,2,3,3,3,4.15,1,5,2,2,5,4,5,4.36,1,4,5,4,4,4,3,1
693,2,1,72,1,2,1,1,2,1,1,1,1,3,2,1,1,1,1,2,5.58,1,3,5,4,4,3,3,3.02,1,3,5,2,3,1,5,4.99,1,2,4,1,1,3,3,4.67,1,4,4,3,4,2,3,1
694,3,1,51,1,2,1,1,2,1,1,2,2,2,1,2,1,1,1,1,5.38,1,3,5,3,4,3,4,2.25,1,3,1,4,3,2,3,5.03,1,4,4,1,5,2,3,5.06,2,5,3,5,4,3,3,1
695,1,1,38,1,2,4,3,1,2,2,2,2,2,1,2,2,1,1,2,5.83,1,2,4,5,3,3,3,2.12,1,3,5,3,3,3,1,4.56,2,4,4,2,4,1,4,5.09,1,3,3,4,2,5,5,1
696,3,2,42,1,2,1,1,2,1,1,2,2,3,2,1,2,1,1,1,5.15,1,3,5,2,3,1,2,3.78,1,1,3,4,3,3,2,4.82,2,4,5,3,4,2,3,4.74,1,5,5,1,5,3,5,1
697,1,1,28,2,2,2,1,2,2,1,2,2,2,2,1,4,1,2,3,5.52,1,5,3,4,3,3,3,3.62,1,2,4,5,3,1,3,4.64,1,3,3,4,5,2,2,4.52,1,3,4,5,2,3,3,1
698,2,1,18,2,1,1,3,1,2,1,2,1,3,2,2,3,1,2,2,5.62,1,4,5,5,5,1,4,3.86,1,5,2,3,3,5,3,4.73,1,4,4,3,4,2,5,4.65,1,2,4,3,4,3,4,1
699,1,1,71,2,3,4,1,2,2,1,1,1,1,2,2,2,2,2,2,5.98,1,4,4,4,5,5,3,2.8,1,5,2,4,5,2,3,5.66,1,5,5,3,3,5,3,4.46,1,3,4,2,3,2,3,1
700,2,1,30,1,2,3,1,2,1,2,2,1,2,2,2,4,2,2,2,6.03,1,3,4,4,2,4,1,3.24,2,5,4,3,2,3,2,5.22,2,3,5,4,1,4,3,5.04,1,5,2,4,5,3,3,1
701,2,2,57,1,1,1,1,2,1,1,2,1,1,1,2,4,2,2,2,5.4,1,3,3,2,5,3,2,2.92,1,3,4,2,4,2,4,5.21,1,3,3,4,5,5,3,4.07,2,4,5,1,4,3,3,1
702,1,1,25,2,2,1,1,1,1,2,1,1,2,2,2,4,1,1,3,5.32,1,3,3,3,4,5,2,2.85,1,3,4,3,2,3,4,4.92,2,3,4,2,4,5,2,4.6,1,2,2,2,3,3,5,1
703,3,1,35,1,1,2,1,1,1,1,2,2,3,2,2,2,1,1,4,4.75,1,2,1,5,4,5,2,3.74,1,4,2,3,5,3,3,5.26,2,5,4,4,4,5,4,4.54,1,4,3,3,1,5,5,1
704,2,2,56,2,2,1,1,2,1,1,1,2,2,1,2,2,3,1,3,5.11,2,1,2,3,1,5,1,3.49,2,5,3,5,4,2,1,4.89,2,4,3,3,3,4,1,5.06,2,2,1,1,4,4,3,1
705,2,1,41,2,2,1,2,2,1,1,2,1,2,1,1,3,1,1,2,5.28,2,3,5,4,5,5,2,3.25,1,5,5,3,4,5,3,3.97,1,5,4,3,4,5,3,4.46,2,2,4,4,4,2,4,1
706,2,2,62,2,2,1,1,1,1,1,2,1,2,1,1,1,3,1,2,5.54,1,3,4,5,4,3,3,3.1,1,4,4,2,4,3,4,5.82,2,2,3,5,1,1,2,4.75,2,4,5,5,5,4,5,1
707,1,1,32,1,1,3,1,2,2,2,1,1,1,1,1,1,3,1,2,4.55,2,4,3,1,3,4,3,3.16,1,5,4,5,4,3,4,4.89,1,2,3,4,3,3,3,4.62,1,3,5,3,5,5,2,1
708,2,1,57,2,2,1,2,1,1,1,2,1,2,1,2,4,3,1,3,6.17,2,4,5,1,2,3,3,2.63,2,4,2,3,3,5,3,4.44,1,4,3,2,5,2,3,4.32,1,4,4,1,4,2,3,1
709,1,1,43,1,1,1,1,1,1,1,2,2,2,2,2,3,3,1,3,5.57,1,2,4,4,3,3,5,3.12,1,3,3,2,2,3,5,4.88,1,3,1,4,3,3,4,3.73,2,4,3,3,4,2,5,1
710,2,1,33,2,1,3,1,1,2,1,1,1,1,1,1,3,2,2,2,5.21,1,3,4,1,4,1,5,2.93,1,3,4,4,4,2,3,5.42,2,3,5,3,3,3,3,4.9,1,4,1,4,4,3,5,1
711,2,2,63,3,1,1,1,3,1,1,2,2,1,1,1,4,1,1,1,5.56,1,4,4,3,4,3,3,2.8,1,5,2,3,5,4,3,5.24,2,3,5,2,5,3,3,4.83,1,2,3,5,5,3,4,1
712,1,1,41,1,2,1,1,1,2,1,2,1,3,2,2,2,2,1,2,5.06,2,4,1,4,4,2,3,3.04,1,3,4,1,1,3,3,6.54,1,2,3,2,3,3,4,4.02,1,3,5,2,4,2,2,1
713,2,2,65,2,3,3,1,1,2,1,1,2,2,1,1,2,2,2,4,5.76,1,4,3,1,4,1,1,2.75,1,5,3,5,5,4,4,4.77,1,3,3,5,4,4,1,4.36,1,2,2,2,3,1,2,1
714,3,2,61,1,2,3,1,1,2,1,2,2,3,2,2,1,3,1,2,4.77,1,5,4,2,3,1,4,3.31,2,3,3,5,4,3,3,4.56,1,5,3,5,4,3,4,5.11,2,4,5,3,4,1,3,1
715,1,1,49,1,2,2,1,1,1,2,2,2,3,1,1,2,2,1,3,6.03,1,5,5,4,4,2,3,3.28,1,5,3,4,3,3,5,4.26,2,3,4,4,3,1,2,5.2,1,3,2,2,4,4,1,1
716,2,1,33,1,1,1,1,3,1,1,2,1,2,1,2,3,1,1,1,5.62,1,1,5,2,4,3,3,2.75,1,3,4,5,4,4,5,5.17,1,5,4,2,3,5,2,4.9,2,4,4,5,4,2,3,1
717,1,1,60,1,2,1,1,2,2,1,2,2,3,2,1,3,3,2,2,6.2,1,3,4,5,3,1,2,2.64,1,4,3,4,3,3,5,4.62,2,4,5,5,3,5,3,4.65,2,4,3,3,5,4,4,1
718,2,1,22,1,2,1,3,1,1,1,2,2,2,2,2,2,1,1,1,5.65,1,2,3,5,2,5,3,2.48,1,5,3,3,1,4,4,5.06,1,4,4,5,5,5,5,4.66,1,2,5,5,3,4,3,1
719,2,2,21,1,1,1,2,1,1,1,2,2,1,2,1,3,3,2,2,5.65,1,3,5,4,4,3,4,2.45,1,4,3,3,3,5,3,4.78,2,2,5,1,4,4,2,5.84,1,5,4,3,5,1,2,1
720,2,1,43,2,2,1,1,1,2,1,2,1,1,2,2,4,3,2,3,5.19,1,3,4,2,5,3,4,3.39,1,2,4,3,3,5,3,5.67,2,3,4,3,1,4,2,4.24,1,4,3,2,4,5,3,1
721,2,1,74,2,1,4,1,2,1,2,2,2,3,1,2,1,2,1,3,6.06,1,5,2,3,4,3,2,3.02,1,4,3,4,3,5,3,5.61,2,3,4,5,4,3,4,4.91,1,4,1,4,5,5,3,1
722,4,2,31,2,1,1,1,1,2,1,2,2,1,1,2,4,1,2,1,5.6,1,3,3,5,4,5,5,3.5,1,5,2,1,2,4,3,4.9,2,3,2,4,5,5,5,4.94,2,5,4,5,3,1,3,1
723,2,2,25,2,2,4,1,1,2,1,1,2,2,2,2,1,3,1,3,6.2,1,4,5,4,2,4,2,2.33,1,5,5,2,4,4,2,4.67,2,4,1,4,4,2,2,4.54,2,5,5,3,4,4,4,1
724,2,2,39,1,2,4,1,2,2,2,2,2,1,1,1,1,1,2,3,5.54,2,3,5,4,3,1,2,3.03,1,4,4,3,1,1,3,5.38,1,3,4,1,4,3,3,4.49,2,4,2,3,4,5,3,1
725,4,2,32,1,1,1,1,3,2,2,1,1,3,2,2,4,3,1,4,5.8,1,3,4,1,4,2,2,2.64,2,1,1,4,4,5,3,5,1,2,4,3,4,3,5,4.46,1,5,4,3,4,4,3,1
726,2,2,47,3,1,1,1,1,1,1,2,1,2,2,1,2,1,1,3,5.78,1,4,4,5,4,1,2,2.71,1,5,4,5,4,5,3,5.16,1,4,3,2,3,2,1,3.9,1,3,2,4,3,5,2,1
727,2,2,60,1,2,1,1,2,1,1,1,2,2,1,1,4,1,1,2,5.93,1,4,5,2,3,3,2,2.87,2,4,5,3,4,4,3,5.22,2,3,2,2,5,4,3,4.56,1,3,4,3,1,1,4,1
728,1,2,73,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,5.19,1,5,5,4,3,2,3,3.07,1,4,5,5,4,1,2,4.29,2,4,4,4,4,4,2,4.52,2,3,3,4,4,4,3,1
729,2,2,48,2,2,1,1,1,1,2,2,1,3,2,2,2,3,1,4,5.81,1,4,5,5,3,4,5,3.09,1,5,4,3,3,5,4,4.59,2,4,3,4,4,4,5,4.63,2,5,4,4,3,1,2,1
730,2,1,69,2,1,3,1,1,1,2,1,1,1,2,1,2,1,1,2,6.49,1,4,2,4,5,3,1,3.39,1,4,4,3,4,5,4,6.86,2,3,3,5,3,3,2,4.66,1,3,4,4,1,4,2,1
731,1,1,27,1,3,1,1,2,2,1,1,2,2,2,2,1,1,2,2,5.84,1,4,3,3,4,2,5,3.12,1,4,3,3,5,4,4,4.46,2,1,5,3,5,5,1,3.96,2,5,4,3,5,3,3,1
732,2,2,36,2,3,1,1,2,1,2,2,2,1,1,2,1,1,1,2,5.81,1,5,3,4,4,4,2,3.13,1,5,5,3,1,2,5,4.67,1,3,5,4,4,4,5,4.65,2,3,4,1,3,3,3,1
733,2,2,49,1,2,4,1,2,1,1,2,1,2,2,2,4,3,2,3,5.71,1,4,4,3,4,3,1,2.77,1,4,5,5,4,4,4,4.43,1,4,4,4,2,3,3,5.11,2,3,4,1,3,4,3,1
734,4,2,22,1,2,1,2,2,2,1,1,2,3,2,2,3,1,1,3,4.41,1,5,3,2,4,4,3,3.15,1,3,4,3,1,1,4,5.05,2,5,4,3,2,5,3,4.24,2,5,1,4,5,5,3,1
735,4,1,18,2,1,1,2,1,1,1,1,1,1,2,2,2,2,1,2,5.96,1,4,4,3,3,5,1,2.98,1,4,4,1,4,4,3,5.27,1,3,2,2,5,3,3,4.19,1,4,3,4,5,4,1,1
736,2,1,29,2,2,1,1,2,2,2,2,1,2,2,1,1,3,1,3,5.99,2,4,3,3,4,4,2,2.82,1,5,1,4,5,1,2,5.66,2,3,4,1,4,4,5,4.04,1,2,4,1,2,2,2,1
737,4,2,35,1,3,1,1,3,1,1,2,1,1,2,1,4,1,1,3,6.08,1,3,5,3,2,3,4,3.38,1,3,3,3,1,4,3,5.16,2,4,3,3,4,3,3,4.35,2,3,5,2,3,5,4,1
738,3,2,23,1,2,1,3,2,2,1,1,1,3,2,1,4,3,1,1,5.27,1,4,4,3,4,2,4,2.9,1,1,4,2,2,3,5,5.26,2,3,2,4,4,5,4,4.44,2,4,3,3,4,1,1,1
739,1,1,68,1,2,1,1,2,1,2,2,1,3,1,2,1,2,2,1,6.06,1,3,4,3,3,5,3,3.35,1,3,2,2,4,5,4,5.06,2,1,4,4,3,3,4,4.99,1,3,4,2,4,4,1,1
740,1,1,32,1,3,1,1,3,1,1,1,1,1,1,2,3,1,1,4,5.23,1,4,1,5,4,3,3,3.68,1,5,4,4,4,3,4,5.18,1,4,4,3,2,3,3,4.73,1,2,4,3,4,3,4,1
741,3,2,48,1,1,4,1,2,1,1,1,1,3,1,1,4,2,1,3,5.5,1,5,5,4,3,3,4,2.57,1,1,4,2,4,2,1,4.41,1,4,5,5,5,5,2,3.34,1,4,3,3,4,3,4,1
742,2,1,67,1,3,4,3,2,2,1,1,1,1,1,2,4,1,1,2,4.85,1,1,5,5,5,1,3,2.77,1,3,5,4,3,3,2,5.27,1,4,2,5,4,3,3,4.5,1,3,3,4,4,2,4,1
743,1,1,41,1,2,4,1,2,2,1,2,2,3,2,2,1,2,2,4,6.37,1,5,5,5,4,3,3,3.53,1,4,4,4,5,5,5,4.58,1,5,2,3,3,3,3,5,1,1,2,4,3,4,1,1
744,2,2,59,1,3,1,1,1,2,1,1,1,1,2,1,2,1,1,2,5.31,1,4,5,2,3,2,2,3.49,1,5,4,5,2,3,3,5.43,2,3,5,4,3,3,4,4.94,1,4,2,3,4,5,3,1
745,2,1,50,2,1,3,1,1,1,2,2,2,1,1,2,2,1,2,2,5.86,1,3,3,3,1,2,2,2.98,1,3,3,3,3,4,3,4.65,2,4,3,3,4,4,5,4.36,2,3,4,1,3,2,3,1
746,1,1,47,1,2,1,1,1,2,2,1,1,2,1,2,3,3,2,2,4.78,1,3,4,2,4,5,1,4.06,1,5,3,2,4,1,2,4.63,2,1,1,4,1,1,4,4.49,1,4,1,4,5,3,4,1
747,2,2,46,3,1,1,1,1,1,2,2,1,3,1,2,3,1,2,2,5.61,1,4,5,4,3,1,2,3.5,1,3,5,3,4,5,5,5.26,1,5,1,4,3,3,3,3.65,1,1,5,3,4,3,3,1
748,3,1,23,1,2,1,2,3,2,1,2,1,2,2,2,1,2,1,2,5.39,1,4,4,4,3,3,3,3.88,1,3,4,4,3,4,1,5.38,1,5,3,2,3,3,2,4.3,2,2,1,4,3,3,2,1
749,4,2,57,1,2,4,1,2,2,1,1,2,2,2,2,2,2,1,2,5.18,1,4,3,5,2,3,2,2.56,1,4,4,2,4,3,3,4.86,1,4,3,5,5,4,3,4.22,1,3,5,2,4,4,1,1
750,2,2,38,2,2,4,1,2,1,1,1,1,2,1,2,1,3,2,2,5.52,1,4,4,4,4,5,3,3.48,1,3,4,5,4,3,5,4.61,1,4,3,4,4,2,3,5.55,1,5,4,4,3,2,3,1
751,3,1,42,2,2,1,1,1,2,2,1,2,1,2,2,2,3,2,2,5.72,1,4,4,1,3,3,1,4.11,1,4,4,1,4,5,4,4.73,1,4,4,3,3,4,3,4.63,2,3,3,3,3,4,1,1
752,1,1,58,1,3,4,3,2,2,1,1,2,2,2,2,3,1,1,2,5.32,1,3,2,5,4,2,1,3.36,1,3,4,2,3,4,2,4.97,1,4,1,4,1,3,4,4.69,2,3,4,2,4,2,2,1
753,3,1,49,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,2,6.08,1,3,5,3,3,4,4,3.62,1,5,4,2,3,3,4,6.38,1,5,5,3,4,2,2,4.79,1,5,4,5,4,2,4,1
754,2,1,67,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,5.95,1,3,4,4,2,3,3,2.39,1,4,2,3,5,4,3,4.19,1,3,4,2,4,3,3,3.98,1,3,1,4,4,1,1,1
755,2,2,32,1,2,1,1,2,1,1,1,2,1,2,2,1,2,2,2,5.58,1,3,1,4,4,3,2,3.22,1,3,3,1,4,3,2,5.56,2,5,5,4,4,4,3,5.31,1,4,3,4,4,1,3,1
756,3,1,25,1,2,4,1,2,1,2,1,1,2,2,2,4,3,1,3,5.95,1,2,5,1,3,4,2,2.84,1,3,5,4,4,2,2,5.39,2,5,5,4,4,1,2,3.82,2,5,5,3,4,4,4,1
757,2,1,39,1,2,1,1,1,2,1,1,1,2,2,1,4,1,2,2,5.79,2,5,2,4,5,3,2,2.19,1,4,4,1,2,3,4,5.33,2,2,5,4,4,2,2,5.01,1,5,4,2,3,3,4,1
758,2,2,39,3,1,1,1,1,1,2,2,1,2,2,2,3,3,1,2,5.22,1,4,4,3,4,3,4,2.86,1,4,5,1,5,5,3,5.37,1,4,3,4,2,4,2,4.62,1,2,2,3,4,3,2,1
759,1,1,54,1,3,1,1,1,1,2,2,1,2,1,2,2,2,2,3,5.91,1,3,3,4,3,5,5,2.91,1,4,4,2,5,5,4,4.5,1,4,3,3,2,3,3,4.55,1,4,5,3,4,1,3,1
760,1,1,67,1,2,1,1,2,1,1,1,1,3,1,2,1,3,2,1,6.25,1,3,4,2,5,2,3,3.34,1,4,4,1,4,2,3,4.7,2,2,2,4,4,3,5,4.54,1,2,2,4,3,5,3,1
761,2,1,25,1,2,1,1,2,1,2,2,2,1,2,2,1,3,2,3,5.48,1,4,3,4,3,2,2,2.71,1,3,5,4,5,3,5,4.5,2,4,5,3,2,5,2,4.62,2,4,4,3,3,4,4,1
762,1,1,69,2,2,1,1,2,1,1,2,2,3,1,2,1,1,2,3,5.65,1,4,3,3,2,4,4,2.22,1,2,5,5,3,4,3,5.54,2,4,5,1,4,4,3,4.51,2,4,4,3,3,4,3,1
763,2,2,37,2,2,4,1,2,1,1,2,2,1,2,2,1,2,1,1,5.31,1,4,1,4,5,5,3,2.18,1,2,4,4,3,3,4,4.04,2,4,4,4,3,5,2,5.17,1,3,5,3,4,3,3,1
764,3,1,53,1,1,4,1,1,2,1,2,1,1,1,2,3,1,1,3,5.47,1,4,4,1,4,1,3,4.06,1,5,4,2,4,3,5,4.97,2,4,5,5,5,5,4,4.35,1,4,5,2,5,3,2,1
765,2,2,58,2,1,1,1,2,2,1,1,1,1,2,2,1,2,1,2,5.72,2,4,3,4,4,2,1,2.14,1,4,4,3,3,3,3,5.15,1,2,5,5,4,3,5,4.64,1,4,4,2,3,3,1,1
766,2,1,28,1,3,1,1,1,1,2,2,1,2,2,1,4,1,2,3,5.4,1,3,4,5,1,3,3,2.43,1,2,4,4,3,3,3,4.96,2,4,5,2,5,4,3,4.49,2,4,3,2,4,5,2,1
767,4,1,73,3,2,1,1,2,1,1,1,1,3,1,2,2,2,1,1,6.05,1,1,3,2,4,3,2,2.51,1,1,4,3,4,4,3,4.43,1,1,4,2,4,3,1,4.77,1,3,4,2,4,3,1,1
768,2,1,48,1,2,2,1,1,1,2,2,2,1,1,1,3,3,1,1,5.36,1,4,4,2,4,4,5,3.63,1,5,5,3,5,5,5,5.38,1,4,4,4,3,3,3,5.25,1,2,4,3,3,5,5,1
769,4,2,33,1,1,1,1,1,1,2,1,2,3,2,2,3,1,2,2,5.21,1,2,4,4,3,3,4,2.03,1,3,2,2,4,5,3,5.07,2,3,5,4,3,4,4,4.24,1,3,5,4,5,4,3,1
770,3,2,27,1,2,1,1,2,1,1,2,1,1,2,1,3,1,1,2,6.16,1,4,4,5,2,2,3,3.1,2,3,4,2,1,1,1,5.05,1,3,4,5,3,2,3,5.05,1,1,5,4,2,5,3,1
771,2,2,53,2,2,4,1,1,1,2,2,2,3,1,2,1,3,1,3,5.58,1,1,5,2,4,4,3,3.29,1,5,5,2,4,5,4,5.82,1,3,4,5,4,4,5,3.67,1,3,2,2,4,5,2,1
772,2,2,50,1,2,1,1,2,1,1,2,2,2,1,1,3,2,1,4,5.67,1,4,4,3,5,4,4,2.52,1,3,5,2,3,5,4,5.32,1,4,4,4,5,4,2,4.12,1,5,4,3,4,1,3,1
773,4,2,28,2,1,1,1,3,2,1,1,1,1,2,2,1,1,1,2,5.99,1,3,4,4,4,2,2,3.81,1,3,4,2,2,2,3,4.69,1,5,5,4,4,1,2,4.75,1,2,5,4,4,4,3,1
774,1,2,19,1,3,1,2,1,2,1,1,2,2,2,1,2,2,2,2,5.79,1,5,5,5,3,4,4,2.57,1,3,4,5,4,2,5,4.89,1,3,5,2,1,5,4,4.22,2,5,1,3,4,4,3,1
775,1,1,25,1,2,1,1,2,1,2,1,1,2,2,2,3,2,2,2,5.38,2,3,5,4,2,4,3,3.89,1,5,5,3,4,3,2,4.6,2,5,5,3,3,4,4,4.16,2,4,3,3,3,5,3,1
776,1,1,71,2,1,1,1,2,1,1,2,1,2,2,1,4,3,1,2,5.4,1,5,3,4,5,2,3,3.76,1,5,4,2,4,5,4,5.07,2,3,4,3,1,3,3,4.42,2,5,5,3,4,4,4,1
777,1,1,40,2,2,2,1,3,2,1,2,1,2,2,2,4,1,2,2,6.04,1,5,4,2,1,3,5,2.88,1,3,4,5,1,1,3,5.41,1,2,4,2,4,3,2,4.59,2,5,1,5,3,1,4,1
778,2,1,62,1,1,4,1,2,1,2,2,1,1,2,1,3,3,1,2,5.85,1,4,4,2,4,2,3,3.2,1,3,3,3,4,4,3,4.97,1,4,4,3,4,2,4,3.89,2,3,4,4,5,3,4,1
779,3,2,67,1,2,2,2,3,2,2,2,1,2,2,2,1,1,1,2,5.63,1,2,3,5,2,1,2,2.34,1,3,4,3,3,3,2,4.45,1,5,4,4,3,5,2,4.86,1,1,5,5,5,3,3,1
780,2,2,59,1,2,1,1,1,1,1,2,1,3,1,1,1,2,2,2,5.49,1,5,5,3,2,1,4,3.15,1,4,2,4,4,4,2,5.07,2,4,1,2,3,2,1,4.53,1,3,4,4,4,1,3,1
781,1,1,46,1,1,2,1,1,1,2,1,2,1,2,2,2,3,2,3,5.36,1,5,4,3,4,4,2,3.31,1,2,4,4,3,4,3,4.07,1,4,4,2,5,2,3,4.03,2,3,4,1,4,5,3,1
782,2,2,48,1,2,1,1,3,2,2,1,1,1,1,1,2,2,2,4,6.07,1,4,5,1,3,3,4,3.68,2,3,3,4,3,4,1,4.46,2,4,4,5,4,4,3,4.7,2,2,4,1,3,2,3,1
783,2,1,69,1,3,1,2,1,2,2,2,2,1,1,2,1,1,2,2,5.78,1,3,3,3,4,1,2,2.86,1,4,4,3,2,3,4,5.01,1,5,2,4,4,3,3,4.57,2,2,3,2,5,2,3,1
784,2,2,38,1,1,1,1,3,1,1,2,1,2,1,1,4,1,2,1,5.79,1,1,4,5,4,2,2,3.43,1,3,5,4,3,3,3,5.12,1,5,4,4,5,4,2,4.73,1,3,4,3,4,2,2,1
785,2,2,68,2,2,3,1,1,2,1,2,1,2,1,1,4,1,2,1,4.98,2,4,4,5,1,2,4,2.75,1,4,4,3,5,3,2,4.4,2,4,2,1,5,5,3,3.66,2,4,1,2,4,4,3,1
786,3,1,21,2,3,1,3,3,2,1,2,2,2,2,2,4,3,2,3,5.1,1,5,4,3,3,1,3,4.02,1,3,5,3,4,2,3,4.09,1,5,3,3,4,5,4,5.45,1,3,2,2,3,1,3,1
787,2,1,62,3,2,2,1,2,1,2,1,2,1,2,2,1,1,2,1,5.59,1,5,2,2,5,5,5,2.33,1,4,4,4,4,2,4,5.65,1,3,2,1,5,5,3,4.46,1,4,4,1,4,2,3,1
788,2,1,32,1,2,1,1,2,1,2,2,1,2,2,2,2,2,1,4,5.51,1,2,3,3,4,3,3,3.49,1,3,4,4,4,1,3,5.03,1,4,4,3,3,4,4,4.76,1,5,5,4,4,3,3,1
789,1,1,52,3,2,2,1,2,2,1,2,1,3,2,1,3,2,1,2,5.56,1,4,4,5,3,2,4,2.42,1,4,4,3,3,3,2,4.88,1,4,4,4,5,2,3,4.5,1,3,2,3,4,4,2,1
790,4,2,67,1,2,4,2,1,1,1,2,2,2,2,2,1,2,1,1,5.66,1,2,5,4,3,2,3,2.76,1,3,4,3,3,3,3,4.73,2,5,5,2,3,4,3,4.14,1,4,4,2,3,5,2,1
791,2,2,49,1,2,1,1,2,1,1,1,1,1,2,2,3,1,1,3,6.04,1,4,3,3,4,4,1,2.42,1,3,3,3,5,3,3,5.33,1,4,4,3,4,4,2,4.78,2,3,4,4,4,4,3,1
